Customer_Name,Phone_Number,Email,Rental_Car_Model,Rental_Start_Date,Rental_End_Date
Scott Kim,431-326-5705,pbright@hotmail.com,Ford F-150,2023-03-02,2026-09-07
Joshua Long,600.319.5979x2140,padillajustin@carter-boyle.com,Ford F-150,32/13/2023,2025-05-02
Savannah Figueroa,001-679-078-3990x34143,tdiaz@gallegos.net,Toyota Camry,2024-07-15,2026-03-13
John Morgan,(927)423-8722x6782,wallspatrick@martin.com,Honda Civic,2024-02-04,2025-03-06
Kelly Rangel,001-331-781-8778x23805,,Ford F-150,2024-11-23,N/A
Mason Parker,465.070.6652,hbush@lewis.org,Ford F-150,32/13/2023,2025-02-25
1234,7664588714,seth00@gmail.com,Toyota Camry,Invalid-Date,2025-08-24
1234,(179)016-5620,qrichards@hotmail.com,Honda Civic,2023-03-01,2026-01-30
Michael Wright,12345,ssanchez@yahoo.com,Toyota Camry,2024-10-26,2026-10-14
Miss Nicole Johnson,(563)205-8675x286,melissaperry@hotmail.com,Honda Civic,2023-12-02,2026-11-07
Steven Brown,(589)231-4888x895,johnmata@gmail.com,,32/13/2023,2025-03-03
Leslie Kennedy,(676)557-4825x969,russelleric@solomon.com,Ford F-150,32/13/2023,2026-11-17
Carmen Cox,001-879-332-7184x62789,daviskatelyn@hotmail.com,,2024-11-13,2025-02-22
Marie Martin,INVALID,isaiah45@soto.info,Ford F-150,2024-09-07,2026-10-12
Gary White,492-378-3228x1120,user@site,???,2024-03-09,2025-07-24
Bobby Campbell,001-193-807-8467x193,vvelasquez@yahoo.com,Honda Civic,2023-09-24,00/00/0000
Brandon Kelly,5767506887,aday@yahoo.com,Ford F-150,2023-04-20,N/A
Taylor Ayers,+1-872-395-6970x5459,wheelerisabella@hotmail.com,,2024-08-26,2025-11-14
Bruce Paul,8801538191,,Ford F-150,2023-04-16,2026-07-08
Jonathan Diaz,12345,johncruz@hotmail.com,Ford F-150,2024-02-12,2025-03-05
Nancy Allen,+1-592-924-5715x602,kristy54@yahoo.com,Ford F-150,2025-02-09,2025-11-05
Alicia Perez,334-401-3265x4263,tiffanysmith@weaver-richmond.info,Ford F-150,2025-02-17,2026-11-04
John Cowan,7421751847,yhernandez@hanson.org,,2024-04-30,2026-01-26
Nicole Allen,(124)599-9633x395,,Honda Civic,2023-06-06,2026-10-27
Kelly Andersen,001-899-575-7498x2056,lbennett@craig.com,???,2023-08-12,2026-09-06
Jesus Williams,649-892-4385,lsmith@george-hall.com,,Invalid-Date,2025-09-25
Mariah Ray,866.513.2564,not_an_email,Toyota Camry,2023-05-12,00/00/0000
Kim Griffin,710.648.3981x244,tracybrooks@gmail.com,Toyota Camry,Invalid-Date,2026-07-21
Jerry Drake,+1-429-936-6509x3076,jamesbartlett@yahoo.com,,2023-04-19,2025-08-13
Melissa Smith,001-358-078-4607,kgraham@armstrong-nelson.com,Toyota Camry,2024-10-16,2025-09-16
John Cowan,7421751847,yhernandez@hanson.org,,2024-04-30,2026-01-26
Mason Parker,465.070.6652,hbush@lewis.org,Ford F-150,32/13/2023,2025-02-25
Carmen Cox,001-879-332-7184x62789,daviskatelyn@hotmail.com,,2024-11-13,2025-02-22
Scott Kim,431-326-5705,pbright@hotmail.com,Ford F-150,2023-03-02,2026-09-07
Alicia Perez,334-401-3265x4263,tiffanysmith@weaver-richmond.info,Ford F-150,2025-02-17,2026-11-04
